,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Wang Xiangyang,Male,21-01-2023,Gore Mountain,USA,P.r. China,Universiade,Parallel Giant Slalom,25,13.20
1,Wang Xiangyang,Male,21-01-2023,Gore Mountain,USA,P.r. China,Qualification,Parallel Giant Slalom,25,
