Date,Location,Country,Category,Discipline,Gender
2019-09-04,Pucon,CHI,SAC,Snowboard Cross,Male
2019-09-04,Pucon,CHI,SAC,Snowboard Cross,Female
2019-09-05,Pucon,CHI,SAC,Giant Slalom,Male
2019-09-05,Pucon,CHI,SAC,Giant Slalom,Female
2019-11-12,Landgraaf,NED,PARA,Slalom,Male
2019-11-12,Landgraaf,NED,PARA,Slalom,Female
2019-11-13,Landgraaf,NED,PARA,Slalom,Male
2019-11-13,Landgraaf,NED,PARA,Slalom,Female
2019-11-14,Landgraaf,NED,PARA,Slalom,Male
2019-11-14,Landgraaf,NED,PARA,Slalom,Female
2019-11-29,Taiwoo,k,AC,Parallel Giant Slalom,Male
2019-11-29,Taiwoo,k,AC,Parallel Giant Slalom,Female
2019-11-30,Taiwoo,k,AC,Parallel Slalom,Male
2019-11-30,Taiwoo,k,AC,Parallel Slalom,Female
2019-12-07,Bannoye,RUS,WC,Parallel Slalom,Male
2019-12-07,Bannoye,RUS,WC,Parallel Slalom,Female
2019-12-07,Bannoye,RUS,QUA,Parallel Slalom,Male
2019-12-07,Bannoye,RUS,QUA,Parallel Slalom,Female
2019-12-08,Bannoye,RUS,WC,Parallel Giant Slalom,Male
2019-12-08,Bannoye,RUS,WC,Parallel Giant Slalom,Female
2019-12-08,Bannoye,RUS,QUA,Parallel Giant Slalom,Male
2019-12-08,Bannoye,RUS,QUA,Parallel Giant Slalom,Female
2019-12-14,Cortina,,QUA,Parallel Giant Slalom,Male
2019-12-14,Cortina,,QUA,Parallel Giant Slalom,Female
2019-12-14,Cortina,,WC,Parallel Giant Slalom,Male
2019-12-14,Cortina,,WC,Parallel Giant Slalom,Female
2019-12-14,Cortina,,JUN,Parallel Slalom,Male
2019-12-14,Cortina,,JUN,Parallel Slalom,Female
2019-12-15,Cortina,,JUN,Parallel Slalom,Male
2019-12-15,Cortina,,JUN,Parallel Slalom,Female
2019-12-19,Mountain,umannay,FIS,Parallel Giant Slalom,Male
2019-12-19,Mountain,umannay,FIS,Parallel Giant Slalom,Female
2019-12-20,Mountain,umannay,FIS,Parallel Slalom,Male
2019-12-20,Mountain,umannay,FIS,Parallel Slalom,Female
2019-12-19,Carezza,ITA,OPN,Parallel Giant Slalom,Male
2019-12-19,Carezza,ITA,OPN,Parallel Giant Slalom,Female
2019-12-20,Haus,,JUN,Parallel Giant Slalom,Male
2019-12-20,Haus,,JUN,Parallel Giant Slalom,Female
2019-12-21,Haus,,JUN,Parallel Giant Slalom,Male
2019-12-21,Haus,,JUN,Parallel Giant Slalom,Female
2019-12-20,Buck,ill,FIS,Parallel Slalom,Male
2019-12-20,Buck,ill,JUN,Parallel Slalom,Male
2019-12-20,Buck,ill,FIS,Parallel Slalom,Female
2019-12-20,Buck,ill,JUN,Parallel Slalom,Female
2019-12-21,Buck,ill,NAC,Parallel Slalom,Male
2019-12-21,Buck,ill,NAC,Parallel Slalom,Female
2019-12-22,Buck,ill,NAC,Parallel Slalom,Male
2019-12-22,Buck,ill,NAC,Parallel Slalom,Female
2019-12-21,Hochfügen,AUT,EC,Parallel Giant Slalom,Male
2019-12-21,Hochfügen,AUT,EC,Parallel Giant Slalom,Female
2019-12-22,Hochfügen,AUT,EC,Parallel Giant Slalom,Male
2019-12-22,Hochfügen,AUT,EC,Parallel Giant Slalom,Female
2019-12-28,Wanlong,k,AC,Parallel Giant Slalom,Male
2019-12-28,Wanlong,k,AC,Parallel Giant Slalom,Female
2019-12-29,Wanlong,k,AC,Parallel Slalom,Male
2019-12-29,Wanlong,k,AC,Parallel Slalom,Female
2020-01-09,Strbske,les,CHI,Slalom,Male
2020-01-09,Strbske,les,CHI,Snowboard Cross,Male
2020-01-09,Strbske,les,CHI,Slalom,Female
2020-01-09,Strbske,les,CHI,Snowboard Cross,Female
2020-01-10,Tremblant.qc,CAN,FIS,Parallel Giant Slalom,Male
2020-01-10,Tremblant.qc,CAN,FIS,Parallel Giant Slalom,Female
2020-01-11,Scuol,SUI,QUA,Parallel Giant Slalom,Male
2020-01-11,Scuol,SUI,QUA,Parallel Giant Slalom,Female
2020-01-11,Scuol,SUI,WC,Parallel Giant Slalom,Male
2020-01-11,Scuol,SUI,WC,Parallel Giant Slalom,Female
2020-01-11,Goetschen,GER,JUN,Parallel Giant Slalom,Male
2020-01-11,Goetschen,GER,JUN,Parallel Giant Slalom,Female
2020-01-12,Goetschen,GER,JUN,Parallel Giant Slalom,Male
2020-01-12,Goetschen,GER,JUN,Parallel Giant Slalom,Female
2020-01-11,Tremblant.qc,CAN,NAC,Parallel Giant Slalom,Male
2020-01-11,Tremblant.qc,CAN,NAC,Parallel Giant Slalom,Female
2020-01-12,Tremblant.qc,CAN,NAC,Parallel Giant Slalom,Male
2020-01-12,Tremblant.qc,CAN,NAC,Parallel Giant Slalom,Female
2020-01-12,Dizin,IRI,FIS,Giant Slalom,Male
2020-01-12,Dizin,IRI,FIS,Giant Slalom,Female
2020-01-13,Dizin,IRI,FIS,Giant Slalom,Male
2020-01-13,Dizin,IRI,FIS,Giant Slalom,Female
2020-01-14,Bad,astei,QUA,Parallel Slalom,Male
2020-01-14,Bad,astei,QUA,Parallel Slalom,Female
2020-01-14,Bad,astei,WC,Parallel Slalom,Male
2020-01-14,Bad,astei,WC,Parallel Slalom,Female
2020-01-15,Bad,astei,WC,Parallel Slalom Team,Female
2020-01-14,Pyeongchang,KOR,FIS,Slopestyle,Male
2020-01-14,Pyeongchang,KOR,FIS,Slopestyle,Female
2020-01-15,Pyeongchang,KOR,FIS,Big Air,Male
2020-01-15,Pyeongchang,KOR,FIS,Big Air,Female
2020-01-16,Pyeongchang,KOR,FIS,Parallel Giant Slalom,Male
2020-01-16,Pyeongchang,KOR,FIS,Parallel Giant Slalom,Female
2020-01-17,Pyeongchang,KOR,FIS,Parallel Slalom,Male
2020-01-17,Pyeongchang,KOR,FIS,Parallel Slalom,Female
