Date,Location,Country,Category,Discipline,Gender
2022-12-10,Goetschen,GER,JUN,Parallel Slalom,Male
2022-12-10,Goetschen,GER,JUN,Parallel Slalom,Female
2022-12-11,Goetschen,GER,JUN,Parallel Slalom,Male
2022-12-11,Goetschen,GER,JUN,Parallel Slalom,Female
2022-12-10,Winterberg,GER,WC,Parallel Slalom Team,Female
2022-12-10,Winterberg,GER,QUA,Parallel Slalom,Female
2022-12-10,Winterberg,GER,QUA,Parallel Slalom,Male
2022-12-11,Winterberg,GER,WC,Parallel Slalom,Female
2022-12-11,Winterberg,GER,WC,Parallel Slalom,Male
2022-12-15,Carezza,ITA,QUA,Parallel Giant Slalom,Female
2022-12-15,Carezza,ITA,QUA,Parallel Giant Slalom,Male
2022-12-15,Carezza,ITA,WC,Parallel Giant Slalom,Female
2022-12-15,Carezza,ITA,WC,Parallel Giant Slalom,Male
2022-12-17,Cortina,'Ampezz,QUA,Parallel Giant Slalom,Female
2022-12-17,Cortina,'Ampezz,QUA,Parallel Giant Slalom,Male
2022-12-17,Cortina,'Ampezz,WC,Parallel Giant Slalom,Female
2022-12-17,Cortina,'Ampezz,WC,Parallel Giant Slalom,Male
2022-12-17,Hochfügen,GER,EC,Parallel Giant Slalom,Male
2022-12-17,Hochfügen,GER,EC,Parallel Giant Slalom,Female
2022-12-17,Hochfügen,GER,QUA,Parallel Giant Slalom,Male
2022-12-17,Hochfügen,GER,QUA,Parallel Giant Slalom,Female
2022-12-18,Hochfügen,GER,EC,Parallel Giant Slalom,Male
2022-12-18,Hochfügen,GER,EC,Parallel Giant Slalom,Female
2022-12-18,Hochfügen,GER,QUA,Parallel Giant Slalom,Male
2022-12-18,Hochfügen,GER,QUA,Parallel Giant Slalom,Female
2022-12-20,Bad,astei,EC,Parallel Slalom,Male
2022-12-20,Bad,astei,EC,Parallel Slalom,Female
2022-12-20,Bad,astei,QUA,Parallel Slalom,Male
2022-12-20,Bad,astei,QUA,Parallel Slalom,Female
2022-12-21,Bad,astei,EC,Parallel Slalom,Male
2022-12-21,Bad,astei,EC,Parallel Slalom,Female
2022-12-21,Bad,astei,QUA,Parallel Slalom,Male
2022-12-21,Bad,astei,QUA,Parallel Slalom,Female
2022-12-20,Val,ain,FIS,Parallel Giant Slalom,Male
2022-12-20,Val,ain,FIS,Parallel Giant Slalom,Female
2022-12-21,Val,ain,FIS,Parallel Giant Slalom,Male
2022-12-21,Val,ain,FIS,Parallel Giant Slalom,Female
2023-01-04,Suche/zakopane,POL,NC,Parallel Giant Slalom,Male
2023-01-04,Suche/zakopane,POL,NC,Parallel Giant Slalom,Female
2023-01-05,Suche/zakopane,POL,NC,Parallel Slalom,Male
2023-01-05,Suche/zakopane,POL,NC,Parallel Slalom,Female
2023-01-07,Haus,,JUN,Parallel Giant Slalom,Male
2023-01-07,Haus,,JUN,Parallel Giant Slalom,Female
2023-01-08,Haus,,JUN,Giant Slalom,Male
2023-01-08,Haus,,JUN,Giant Slalom,Female
2023-01-10,Bad,astei,QUA,Parallel Slalom,Female
2023-01-10,Bad,astei,QUA,Parallel Slalom,Male
2023-01-10,Bad,astei,WC,Parallel Slalom,Female
2023-01-10,Bad,astei,WC,Parallel Slalom,Male
2023-01-11,Bad,astei,WC,Parallel Slalom Team,Female
2023-01-12,Steamboat,k,NAC,Parallel Giant Slalom,Female
2023-01-12,Steamboat,k,NAC,Parallel Giant Slalom,Male
2023-01-13,Steamboat,k,NAC,Parallel Slalom,Male
2023-01-13,Steamboat,k,NAC,Parallel Slalom,Female
2023-01-14,Steamboat,k,FIS,Parallel Giant Slalom,Male
2023-01-14,Steamboat,k,FIS,Parallel Giant Slalom,Female
2023-01-12,Gore,ountai,QUA,Snowboard Cross,Male
2023-01-12,Gore,ountai,QUA,Snowboard Cross,Female
2023-01-13,Gore,ountai,UVS,Snowboard Cross,Male
