Unnamed: 0,Date,Location,Country,Category,Discipline,Date Formated,Temp Min,Temp Avg,Temp Max,Wind Speed
142,2023-02-02,Kopaonik,SRB,FIS,Slalom,2023-02-02,-2.7,0.7,4.9,7.3
144,2023-02-02,Kopaonik,SRB,CHI,Slalom,2023-02-02,-2.7,0.7,4.9,7.3
148,2023-02-03,Kopaonik,SRB,FIS,Giant Slalom,2023-02-03,-3.4,0.1,2.4,10.6
150,2023-02-03,Kopaonik,SRB,CHI,Giant Slalom,2023-02-03,-3.4,0.1,2.4,10.6
154,2023-02-04,Lenzerheide,SUI,EC,Parallel Slalom,2023-02-04,-10.0,-0.6,3.0,15.3
156,2023-02-05,Lenzerheide,SUI,EC,Parallel Slalom,2023-02-05,-15.0,-7.5,0.0,7.2
158,2023-02-04,Gosau,AUT,FIS,Slalom,2023-02-04,-0.9,0.7,2.7,15.1
162,2023-02-05,Gosau,AUT,FIS,Slalom,2023-02-05,-2.5,-0.7,2.0,7.0
174,2023-02-07,Popova,apk,NC,Giant Slalom,2023-02-07,-6.4,-3.2,0.1,5.9
176,2023-02-07,Popova,apk,CHI,Giant Slalom,2023-02-07,-6.4,-3.2,0.1,5.9
178,2023-02-08,Popova,apk,FIS,Giant Slalom,2023-02-08,-5.8,-2.0,2.7,7.2
180,2023-02-08,Popova,apk,CHI,Giant Slalom,2023-02-08,-5.8,-2.0,2.7,7.2
188,2023-02-08,Pamporovo,BUL,FIS,Parallel Slalom,2023-02-08,-5.0,-1.0,3.0,12.0
190,2023-02-09,Pamporovo,BUL,FIS,Parallel Slalom,2023-02-09,-8.0,-2.7,3.0,8.8
192,2023-02-10,Cedars-capucine,LBN,FIS,Giant Slalom,2023-02-10,6.0,8.6,12.1,7.3
194,2023-02-11,Cedars-capucine,LBN,FIS,Giant Slalom,2023-02-11,5.0,7.8,11.6,10.4
196,2023-02-11,Alpine,k,FIS,Parallel Giant Slalom,2023-02-11,-3.6,-2.4,-0.6,17.0
198,2023-02-11,Seli,GRE,NC,Giant Slalom,2023-02-11,-6.0,0.0,9.0,4.6
199,2023-02-11,Seli,GRE,FIS,Giant Slalom,2023-02-11,-6.0,0.0,9.0,4.6
202,2023-02-11,Seli,GRE,CHI,Giant Slalom,2023-02-11,-6.0,0.0,9.0,4.6
206,2023-02-12,Seli,GRE,NC,Slalom,2023-02-12,-5.0,-0.3,6.0,5.3
208,2023-02-12,Seli,GRE,CHI,Slalom,2023-02-12,-5.0,-0.3,6.0,5.3
210,2023-02-11,Funes,,FIS,Parallel Giant Slalom,2023-02-11,-5.9,2.1,12.6,5.1
212,2023-02-12,Funes,,FIS,Parallel Giant Slalom,2023-02-12,-5.7,2.6,13.2,6.2
214,2023-02-12,Cedars,LBN,FIS,Giant Slalom,2023-02-12,6.2,4.6,10.1,20.4
216,2023-02-13,Cedars,LBN,FIS,Giant Slalom,2023-02-13,3.8,7.9,13.4,30.9
218,2023-02-14,Cedars,LBN,NC,Giant Slalom,2023-02-14,1.3,6.3,11.9,18.3
220,2023-02-13,Bukovel,UKR,NC,Parallel Giant Slalom,2023-02-13,-5.8,0.9,6.0,16.6
222,2023-02-14,Bukovel,UKR,NC,Parallel Slalom,2023-02-14,1.6,3.2,4.3,25.5
224,2023-02-13,Palandoken,,FIS,Parallel Giant Slalom,2023-02-13,-18.0,-14.6,-4.9,5.9
226,2023-02-15,Palandoken,,FIS,Parallel Slalom,2023-02-15,-21.2,-15.0,-5.1,6.5
228,2023-02-17,Palandoken,,FIS,Parallel Giant Slalom,2023-02-17,-24.6,-16.1,-3.7,4.6
229,2023-02-18,Bardonecchia,ITA,FIS,Parallel Slalom,2023-02-18,2.1,4.9,11.6,3.0
231,2023-02-19,Bardonecchia,ITA,FIS,Parallel Slalom,2023-02-19,-0.4,4.8,12.6,4.6
233,2023-02-18,Giants,idg,NAC,Parallel Giant Slalom,2023-02-18,7.0,10.4,12.0,19.6
235,2023-02-18,Giants,idg,FIS,Parallel Giant Slalom,2023-02-18,7.0,10.4,12.0,19.6
237,2023-02-19,Giants,idg,NAC,Parallel Slalom,2023-02-19,7.0,9.8,13.0,23.3
241,2023-02-19,Bakuriani,GEO,WSC,Parallel Giant Slalom,2023-02-19,-4.9,-0.5,3.6,8.3
245,2023-02-21,Bakuriani,GEO,WSC,Parallel Slalom,2023-02-21,-4.4,-0.6,1.3,12.8
265,2023-02-23,Beaver,alle,FIS,Parallel Slalom,2023-02-23,9.4,16.4,22.0,18.9
267,2023-02-25,Simonhoehe,AUT,JUN,Parallel Giant Slalom,2023-02-25,-0.2,5.8,11.5,8.1
269,2023-02-26,Simonhoehe,AUT,JUN,Parallel Giant Slalom,2023-02-26,-3.7,-2.2,-0.7,16.5
271,2023-02-25,Dolni,orav,FIS,Parallel Giant Slalom,2023-02-25,-2.0,0.8,3.1,23.7
272,2023-02-25,Dolni,orav,JUN,Parallel Giant Slalom,2023-02-25,-2.0,0.8,3.1,23.7
275,2023-02-26,Dolni,orav,FIS,Parallel Slalom,2023-02-26,-2.9,-2.0,0.2,18.8
276,2023-02-26,Dolni,orav,JUN,Parallel Slalom,2023-02-26,-2.9,-2.0,0.2,18.8
279,2023-02-27,Dolni,orav,FIS,Parallel Slalom,2023-02-27,-4.1,-2.8,-1.0,18.5
280,2023-02-27,Dolni,orav,JUN,Parallel Slalom,2023-02-27,-4.1,-2.8,-1.0,18.5
283,2023-02-27,Holiday,alle,NAC,Parallel Giant Slalom,2023-02-27,14.0,20.0,25.0,11.0
285,2023-02-28,Holiday,alle,NAC,Parallel Giant Slalom,2023-02-28,20.0,22.5,26.0,11.6
291,2023-03-04,Akan,JPN,FIS,Parallel Giant Slalom,2023-03-04,-11.5,-3.2,1.8,13.6
293,2023-03-03,Spindleruv,ly,FIS,Parallel Giant Slalom,2023-03-03,-6.9,-2.4,2.6,3.8
294,2023-03-03,Spindleruv,ly,JUN,Parallel Giant Slalom,2023-03-03,-6.9,-2.4,2.6,3.8
297,2023-03-04,Spindleruv,ly,NC,Parallel Giant Slalom,2023-03-04,-7.2,-2.5,0.0,7.7
299,2023-03-04,Spindleruv,ly,NJC,Parallel Giant Slalom,2023-03-04,-7.2,-2.5,0.0,7.7
301,2023-03-05,Spindleruv,ly,NC,Parallel Slalom,2023-03-05,-3.4,-2.9,-2.2,8.6
303,2023-03-05,Spindleruv,ly,NJC,Parallel Slalom,2023-03-05,-3.4,-2.9,-2.2,8.6
305,2023-03-04,Zakopane,POL,EC,Parallel Giant Slalom,2023-03-04,-5.4,-1.0,5.3,5.4
307,2023-03-05,Zakopane,POL,EC,Parallel Giant Slalom,2023-03-05,-7.1,-5.4,-3.6,4.6
309,2023-03-04,Val,enale,FIS,Parallel Slalom,2023-03-04,1.2,7.9,15.0,9.3
311,2023-03-05,Val,enale,FIS,Parallel Slalom,2023-03-05,1.9,10.3,18.1,11.6
313,2023-03-05,Akan,JPN,NC,Parallel Giant Slalom,2023-03-05,-8.7,-2.1,2.2,12.4
315,2023-03-09,Horseshoe,esor,NAC,Parallel Slalom,2023-03-09,-2.5,1.1,4.6,18.6
317,2023-03-10,Horseshoe,esor,NAC,Parallel Slalom,2023-03-10,-2.3,-0.8,0.7,32.7
319,2023-03-10,Horseshoe,esor,FIS,Parallel Slalom,2023-03-10,-2.3,-0.8,0.7,32.7
321,2023-03-11,Horseshoe,esor,FIS,Parallel Giant Slalom,2023-03-11,-3.5,-1.5,0.6,18.7
323,2023-03-11,Livigno,ITA,WC,Parallel Giant Slalom,2023-03-11,-2.3,-0.4,2.0,15.8
327,2023-03-12,Livigno,ITA,WC,Parallel Slalom,2023-03-12,-4.7,0.2,4.0,8.8
331,2023-03-11,Piancavallo,ITA,WC,Parallel Slalom,2023-03-11,6.7,10.5,14.9,11.5
334,2023-03-11,Davos,SUI,EC,Parallel Slalom,2023-03-11,-4.0,-2.5,-1.5,14.3
336,2023-03-12,Davos,SUI,EC,Parallel Slalom,2023-03-12,-2.5,-0.3,2.9,6.2
338,2023-03-11,Ortisei,ITA,FIS,Giant Slalom,2023-03-11,4.5,13.1,20.3,8.9
